name,length,count_sentences,count_tokens,keywords
339.txt,3192,26,621,would:lib:homes:people:said:dems:plans:share:housing:local
340.txt,3453,24,646,women:said:kennedy:would:party:mr:also:childcare:pay:maternity
341.txt,1919,14,408,said:blair:party:kennedy:trust:tax:mr:people:lib:tony
342.txt,2082,15,414,mr:labour:brown:election:blair:new:said:role:would:key
343.txt,967,8,183,labour:cunningham:mr:stand:cabinet:minister:said:agriculture:blair:government
344.txt,3371,23,656,tax:would:labour:tory:election:party:spending:mr:howard:cuts
345.txt,2022,16,389,age:voting:said:leslie:would:commission:elected:lowering:candidacy:teenagers
346.txt,2147,18,437,labour:campaign:would:election:britain:forward:declared:tony:blair:four
347.txt,2847,20,516,police:said:would:policing:plans:authorities:local:howard:chief:could
348.txt,2869,20,552,said:broadcasters:would:lord:holme:debate:televised:part:prime:blair
349.txt,3846,27,749,labour:brown:gordon:said:chancellor:also:would:taxes:britain:home
350.txt,2677,21,498,labour:election:said:mr:brown:would:speech:chancellor:prime:minister
351.txt,2990,21,593,blair:mr:labour:said:fox:tory:election:going:party:told
352.txt,2913,20,552,blair:education:mr:children:election:teachers:school:parents:schools:sailing
353.txt,5091,39,996,blair:mr:public:election:prime:labour:campaign:war:minister:even
354.txt,1719,12,331,budget:election:brown:chancellor:contain:measures:labour:march:commons:announced
355.txt,2917,27,573,mr:lib:brown:tax:cable:said:chancellor:dem:government:dems
356.txt,2859,22,569,mr:said:chancellor:brown:blair:next:report:economy:stability:would
357.txt,2001,17,365,local:government:council:raynsford:plans:tax:mr:said:cash:ministers
358.txt,1657,12,324,eu:budget:foreign:rebate:european:straw:said:secretary:commission:could
359.txt,2860,24,579,would:mr:brown:balls:said:election:chancellor:labour:stability:budget
360.txt,2940,19,556,mr:brown:budget:voters:economy:election:tax:labour:keep:taxes
361.txt,3132,20,595,duty:stamp:said:tax:economy:labour:threshold:chancellor:increase:budget
362.txt,3427,20,644,election:brown:labour:tax:chancellor:dodgy:gordon:budget:opposition:parties
363.txt,2236,16,425,tax:kennedy:mr:said:income:council:election:would:brown:system
364.txt,2414,19,495,mr:said:election:howard:budget:brown:labour:chancellor:tax:tory
365.txt,2149,14,421,jobs:civil:cut:said:plans:department:service:brown:go:chancellor
366.txt,3000,23,568,brown:world:mr:vaccine:said:finance:aid:hiv:fund:called
367.txt,2848,27,577,britain:howard:said:mr:government:people:blair:wrong:tackle:problems
368.txt,2969,17,554,government:lords:said:law:ruling:human:rights:judgement:detention:robinson
369.txt,2306,17,415,baa:expansion:said:government:stansted:plans:white:paper:heathrow:support
370.txt,3326,21,610,said:roma:asylum:uk:government:immigration:entry:britain:rights:czechs
371.txt,2232,14,441,howard:ethnic:mr:say:tory:uk:vote:make:britain:people
372.txt,3082,21,561,said:election:electoral:registration:general:system:observers:fraud:report:government
373.txt,4047,34,775,eu:rebate:uk:said:european:mr:france:market:straw:budget
374.txt,2387,17,453,said:tax:party:labour:prosper:tory:letwin:howard:would:failure
375.txt,4128,34,822,tax:brown:mr:said:election:budget:pay:rise:also:child
376.txt,1484,12,286,said:budget:leaked:commons:statement:resigned:would:details:london:newspaper
377.txt,1708,16,318,uk:said:gambling:us:casinos:british:industry:casino:ban:tricks
378.txt,3425,22,634,government:said:orders:would:blair:house:bbc:home:secretary:issue
379.txt,2973,25,546,said:would:election:attack:sir:ian:blair:plans:terror:uk
380.txt,18417,151,3633,wage:minimum:increase:people:pay:government:work:jobs:business:would
381.txt,1056,10,202,ban:support:survey:adults:countryfile:supported:hunting:suggests:compared:mori
382.txt,3166,29,598,health:would:people:tb:checks:uk:britain:plan:work:six
383.txt,3113,26,599,eu:said:mr:constitution:straw:uk:foreign:referendum:would:government
384.txt,3522,26,640,could:said:terror:law:human:rights:clarke:powers:suspects:house
385.txt,1967,13,362,brown:immunisation:mr:uk:international:extra:years:poverty:trade:development
386.txt,2695,21,527,china:embargo:arms:straw:mr:said:lifted:want:rights:foreign
387.txt,2643,20,519,spending:tax:would:mr:said:labour:plans:brown:cut:chancellor
388.txt,3111,24,582,care:people:said:government:social:plans:say:services:free:elderly
389.txt,3477,23,664,said:rules:mr:brown:would:treasury:uk:euro:stability:pact
390.txt,3539,26,665,access:said:court:plans:parents:could:orders:fathers:government:children
391.txt,1063,9,199,cost:referendum:said:could:constitution:election:uk:european:ministers:revealed
392.txt,1934,16,360,uk:said:brown:chancellor:mr:debt:relief:tanzania:past:britain
393.txt,4452,31,847,parliament:archives:divorce:records:room:david:among:act:pages:people
394.txt,2656,19,502,said:election:labour:campaign:people:policy:foreign:michael:mr:economy
395.txt,2900,19,551,campaign:labour:election:mr:tax:howard:blair:certain:prime:minister
396.txt,4164,33,792,labour:people:party:commissioner:calls:rules:information:marketing:lib:says
397.txt,503,4,98,election:blunkett:call:monday:ready:weekend:hints:secretary:david:given
398.txt,865,7,174,local:lib:dems:results:election:council:party:tax:ever:best
399.txt,3298,27,621,mr:flight:candidate:said:local:conservative:howard:association:party:tories
400.txt,3888,33,768,lord:callaghan:said:labour:minister:became:former:prime:british:secretary
401.txt,1488,11,294,election:blair:parliament:government:name:mr:april:bill:tony:likely
402.txt,1648,14,305,brown:mr:milburn:labour:said:would:role:campaign:chancellor:election
403.txt,2861,22,556,trust:politicians:said:public:voters:poll:bbc:next:election:issue
404.txt,1558,14,302,tory:public:services:conservative:election:kruger:mr:party:period:creative
405.txt,3248,23,647,mr:abortion:said:issue:howard:blair:one:would:catholic:stance
406.txt,5672,37,1089,mr:brown:blair:chancellor:labour:said:election:westminster:run:politics
407.txt,2711,18,526,boateng:paul:mr:south:said:labour:minister:appointed:appointment:election
408.txt,3537,30,728,howard:mr:said:party:labour:michael:election:mongrel:hain:tory
409.txt,1668,12,311,tory:labour:delegates:conference:party:government:bill:tories:fox:speech
410.txt,1576,14,287,sayeed:mr:mp:standards:committee:association:stand:tory:parliament:denied
411.txt,4898,39,1014,labour:howard:party:tories:election:mr:said:campaign:win:immigration
412.txt,1414,11,276,may:voters:registered:vote:england:election:forms:last:register:also
413.txt,1155,8,219,sainsbury:labour:party:election:gift:lord:donation:general:said:britain
414.txt,3106,22,633,said:blair:prime:minister:mr:people:labour:voters:country:government
415.txt,1508,12,294,labour:campaign:mr:said:wyatt:brown:way:election:role:mp
416.txt,1733,13,338,liberal:lib:dem:democrats:said:top:howard:strategy:tories:leader
417.txt,2837,23,560,said:party:kennedy:mr:lib:election:labour:vote:told:government
